Symbol,Sector
A038870,에너지
A038880,반도체
A038950,자동차_및_부품
A039010,하드웨어
A039020,자본재
A039030,반도체
A039130,소비자_서비스
A039200,의료장비_및_서비스
A039230,
A039240,소재
A039290,소프트웨어
A039310,소비자_서비스
A039340,미디어
A039420,소프트웨어
A039440,반도체
A039490,증권
A039560,하드웨어
A039570,자본재
A039610,자본재
A039670,
A039740,유통
A039830,내구_소비재_및_의류
A039840,의료장비_및_서비스
A039860,의료장비_및_서비스
A039980,내구_소비재_및_의류
A040160,소프트웨어
A040300,미디어
A040350,소프트웨어
A040420,소비자_서비스
A040610,자동차_및_부품
A040910,디스플레이
A041020,소프트웨어
A041140,소프트웨어
A041190,기타금융
A041440,자본재
A041460,상업서비스
A041510,미디어
A041520,디스플레이
A041590,에너지
A041650,자동차_및_부품
A041830,의료장비_및_서비스
A041910,제약_및_바이오
A041920,의료장비_및_서비스
A041930,자동차_및_부품
A041960,제약_및_바이오
A042000,소프트웨어
A042040,소재
A042110,하드웨어
A042370,자본재
A042420,소프트웨어
A042500,소프트웨어
A042510,소프트웨어
A042520,의료장비_및_서비스
A042600,디스플레이
A042660,자본재
A042670,자본재
A042700,반도체
A042940,자본재
A043090,
A043100,
A043150,의료장비_및_서비스
A043200,에너지
A043220,에너지
A043260,하드웨어
A043290,디스플레이
A043340,자본재
A043360,하드웨어
A043370,자동차_및_부품
A043580,
A043590,
A043610,미디어
A043650,
A043710,의료장비_및_서비스
A043910,상업서비스
A044060,자본재
A044180,자본재
A044340,내구_소비재_및_의류
A044380,하드웨어
A044450,운송
A044480,
A044490,에너지
A044780,자본재
A044820,음식료_및_담배
A044960,제약_및_바이오
A045060,소재
A045100,반도체
A045300,반도체
A045340,운송
A045390,운송
A045510,소프트웨어
A045520,자동차_및_부품
A045660,하드웨어
A045890,디스플레이
A045970,하드웨어
A046070,자동차_및_부품
A046110,소프트웨어
A046120,자본재
A046140,미디어
A046210,
A046310,하드웨어
A046390,미디어
A046440,소프트웨어
A046890,디스플레이
A046940,자본재
A046970,하드웨어
A047040,자본재
A047050,자본재
A047080,소프트웨어
A047310,하드웨어
A047400,자동차_및_부품
A047440,
A047560,소프트웨어
A047770,내구_소비재_및_의류
A047810,상업서비스
A047820,미디어
A047920,제약_및_바이오
A048260,의료장비_및_서비스
A048410,생활용품
A048430,자동차_및_부품
A048470,소재
A048530,제약_및_바이오
A048550,미디어
A048770,자본재
A048830,소재
A048870,의료장비_및_서비스
A048910,미디어
A049070,하드웨어
A049080,반도체
A049120,디스플레이
A049180,
A049430,자본재
A049470,소프트웨어
A049480,하드웨어
